,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
239, 239     ↓    1  ,   Venus Movies ,  Entertainment  , 17.5M ↑  0.6% ,  234.77K   ↑   3.3% ,
240, 240     ↓    3  ,   Ali-A ,  Gaming  , 17.4M   -   ,  1.73M   ↑   3.4% ,
241, 241     -   ,   Charlie Puth ,  Music  , 17.3M   -   ,  7.11M   ↑   0.8% ,
242, 242     -   ,   Unbox Therapy ,  Science & Technology  , 17.2M   -   ,  2.07M   ↑   15.3% ,
243, 243   ↑   2  ,   Pencilmation ,  Film & Animation  , 17.2M   -   ,  3.07M   ↑   6.1% ,
244, 244     -   ,   Totoykids ,  Film & Animation  , 17.2M   -   ,  5.1M    ↓     3.8% ,
245, 245     ↓    2  ,   jeffreestar ,  Howto & Style  , 17.2M   -   ,  11.27M   ↑   0.1% ,
246, 246   ↑   5  ,   Little Angel: Nursery Rhymes & Kids Songs ,  Education  , 17.1M ↑  1.2% ,  13.14M   ↑   8.6% ,
247, 247     ↓    1  ,   PopularMMOs ,  Gaming  , 17.1M   -   ,  878.22K   ↑   16.5% ,
248, 248     ↓    1  ,   Lele Pons ,  Comedy  , 17.1M ↑  0.6% ,  13.16M   ↑   5.1% ,
249, 249   ↑   1  ,   EeOneGuy ,  Entertainment  , 17M   -   ,  11.25M   ↑   0.1% ,
250, 250   ↑   3  ,   Netflix ,  Entertainment  , 17M ↑  0.6% ,  291.1K   ↑   11% ,
251, 251     ↓    3  ,   Jimmy Kimmel Live ,  Comedy  , 17M   -   ,  249.78K   ↑   29.7% ,
252, 252     -   ,   Sandeep Maheshwari ,  People & Blogs  , 17M ↑  0.6% ,  1.6M    ↓     7.8% ,
253, 253     ↓    4  ,   GEN HALILINTAR ,  Entertainment  , 17M   -   ,  792.59K    ↓     1.6% ,
254, 254     -   ,   Linkin Park ,  Music  , 16.8M   -   ,  2.28M   ↑   0.7% ,
255, 255     -   ,   Cia. Daniel Saboya ,  Music  , 16.8M   -   ,  534.14K    ↓     2.3% ,
256, 256     -   ,   Becky G ,  Music  , 16.7M   -   ,  326.3K   ↑   0.4% ,
257, 257     -   ,   Werevertumorro ,  Entertainment  , 16.7M   -   ,  587.81K   ↑   0.2% ,
258, 258   ↑   4  ,   Kids TV - Nursery Rhymes And Baby Songs ,  Education  , 16.7M ↑  0.6% ,  135.27K   ↑   3.1% ,
259, 259   ↑   1  ,   FaZe Rug ,  Entertainment  , 16.7M ↑  0.6% ,  3.19M   ↑   2.6% ,
260, 260     ↓    2  ,   FGTeeV ,  Gaming  , 16.7M ↑  0.6% ,  4.9M    ↓     1.5% ,
261, 261   ↑   5  ,   LazarBeam ,  Gaming  , 16.6M ↑  0.6% ,  10.47M   ↑   4.9% ,
262, 262     ↓    1  ,   Good Mythical Morning ,  Entertainment  , 16.6M   -   ,  1.44M    ↓     1.9% ,
263, 263     ↓    4  ,   Porta dos Fundos ,  Entertainment  , 16.6M   -   ,  432.93K    ↓     3.8% ,
264, 264   ↑   1  ,   TRANS7 OFFICIAL ,  Entertainment  , 16.6M ↑  0.6% ,  1.75K    ↓     53.4% ,
265, 265     ↓    1  ,   Noor Stars ,  Entertainment  , 16.6M ↑  0.6% ,  3.56M    ↓     0% ,
266, 266     ↓    3  ,   Doggy Doggy Cartoons ,  Entertainment  , 16.5M   -   ,  115.84K   ↑   9.9% ,
267, 267   ↑   1  ,   JukiLop ,  People & Blogs  , 16.5M   -   ,  12.11M   ↑   0.2% ,
268, 268     ↓    1  ,   Gaby and Alex ,  Entertainment  , 16.5M   -   ,  2.23M    ↓     5.9% ,
269, 269   ↑   3  ,   Nick Jr. ,  Film & Animation  , 16.4M ↑  1.2% ,  313.16K   ↑   18.8% ,
270, 270     ↓    1  ,   Demi Lovato ,  Music  , 16.4M   -   ,  4.14M   ↑   0.1% ,
271, 271   ↑   2  ,   Smile Toys Review ,  Entertainment  , 16.4M ↑  1.2% ,  6.27M   ↑   3.4% ,
272, 272     ↓    2  ,   ARY Digital ,  Entertainment  , 16.3M ↑  1.2% ,  7.57K    ↓     86.9% ,
273, 273   ↑   7  ,   Sony PAL ,  Entertainment  , 16.2M ↑  1.3% ,  532.27K   ↑   26.1% ,
274, 274     ↓    3  ,   JFlaMusic ,  Music  , 16.2M   -   ,  5.55M   ↑   0.9% ,
275, 275   ↑   2  ,   Worldwide Records Bhojpuri ,  Music  , 16.2M ↑  0.6% ,  130.88K    ↓     21.3% ,
276, 276   ↑   3  ,   Disney ,  Entertainment  , 16.1M   -   ,  58.93K   ↑   20.3% ,
277, 277   ↑   5  ,   Wave Music - Bhojpuri ,  Music  , 16.1M ↑  0.6% ,  59.07K   ↑   61.7% ,
278, 278     ↓    4  ,   Vsauce ,  Entertainment  , 16.1M   -   ,  3.39M   ↑   0.3% ,
279, 279     ↓    3  ,   Clash of Clans ,  Gaming  , 16.1M   -   ,  3.41M    ↓     19.6% ,
280, 280     ↓    5  ,   Like Nastya Vlog ,  People & Blogs  , 16.1M   -   ,  39.78M    ↓     7.2% ,
281, 281     ↓    3  ,   CKN Toys ,  Entertainment  , 16.1M   -   ,  1.01M    ↓     3% ,
282, 282     ↓    1  ,   Baim Paula ,  Entertainment  , 16.1M ↑  0.6% ,  789.69K    ↓     12.8% ,
283, 283   ↑   2  ,   Troom Troom Es ,  Howto & Style  , 16M ↑  0.6% ,  1.44M   ↑   34% ,
284, 284     ↓    1  ,   Caeli Alien ,  Entertainment  , 16M   -   ,  1.01M   ↑   0.3% ,
285, 285     ↓    1  ,   Paulo Londra ,  Music  , 16M ↑  0.6% ,  93.19M   ↑   0.4% ,
286, 286   ↑   5  ,   Saregama Music ,  Music  , 16M ↑  1.3% ,  222.04K   ↑   325.1% ,
287, 287   ↑   5  ,    ,  Film & Animation  , 16M ↑  1.3% ,  1.89M   ↑   22.7% ,
288, 288     ↓    1  ,   Masha y el Oso ,  Film & Animation  , 15.9M ↑  0.6% ,  1.68M    ↓     7.5% ,
289, 289     ↓    3  ,   Romeo Santos ,  Music  , 15.9M   -   ,  22.06M   ↑   0.2% ,
290, 290     ↓    1  ,   Infinite ,  Entertainment  , 15.9M ↑  0.6% ,  461.18K   ↑   8.1% ,
291, 291   ↑   12  ,   Round2hell ,  Comedy  , 15.9M ↑  1.9% ,  32.89M   ↑   2.2% ,
292, 292   ↑   1  ,   Britain's Got Talent ,  Entertainment  , 15.8M   -   ,  86.39K    ↓     52.4% ,
293, 293   ↑   6  ,   Diana Kids Stories ,  Entertainment  , 15.8M ↑  0.6% ,  8.2M    ↓     16.7% ,
294, 294   ↑   1  ,   ZHC ,  Entertainment  , 15.8M ↑  0.6% ,  18.58M   ↑   1.3% ,
295, 295     ↓    5  ,   Zee News ,  News & Politics  , 15.8M   -   ,  25.57K    ↓     44.8% ,
296, 296     ↓    8  ,   Guava Juice ,  Entertainment  , 15.8M   -   ,  894.81K   ↑   4.2% ,
297, 297   ↑   1  ,   ExtraPolinesios ,  People & Blogs  , 15.7M   -   ,  5.63M   ↑   0.5% ,
298, 298   ↑   4  ,   Turma da Mônica ,  Film & Animation  , 15.7M ↑  0.6% ,  1.22M   ↑   5.6% ,
299, 299     ↓    2  ,   Willyrex ,  Gaming  , 15.7M   -   ,  1.19M   ↑   8.2% ,
300, 300   ↑   1  ,   RsiamMusic : อาร์สยาม ,  Music  , 15.7M ↑  0.6% ,  73.53K   ↑   7% ,
301, 301     ↓    6  ,   Willyrex ,  Gaming  , 15.7M   -   ,  1.19M   ↑   8.2% ,
302, 302   ↑   2  ,   Genevieve's Playhouse - Learning Videos for Kids ,  Film & Animation  , 15.7M ↑  0.6% ,  4.15M   ↑   7.3% ,
303, 303     ↓    2  ,   RsiamMusic : อาร์สยาม ,  Music  , 15.7M ↑  0.6% ,  73.53K   ↑   7% ,
304, 304     ↓    4  ,   Мирошка ТВ ,  Education  , 15.6M   -   ,  262.77M   ↑   0% ,
305, 305     -   ,   Sonotek ,  Music  , 15.6M   -   ,  361.12K    ↓     0.7% ,
306, 306     -   ,   Tu COSMOPOLIS ,  People & Blogs  , 15.5M   -   ,  289.03K    ↓     14.4% ,
307, 307     -   ,   AdeleVEVO ,  Music  , 15.5M   -   ,  239.74M   ↑   0.1% ,
308, 308   ↑   4  ,   Gordon Ramsay ,  Entertainment  , 15.5M ↑  0.7% ,  683.33K   ↑   13.9% ,
309, 309   ↑   2  ,   Dua Lipa ,  Music  , 15.5M ↑  0.7% ,  23.53M   ↑   2.7% ,
310, 310     ↓    2  ,   Canal IN ,  Entertainment  , 15.5M   -   ,  143.75K    ↓     0.7% ,
311, 311   ↑   5  ,   Lyrical Lemonade ,  Entertainment  , 15.4M ↑  0.7% ,  36.42M    ↓     10.8% ,
312, 312     ↓    3  ,   Roman Atwood Vlogs ,  People & Blogs  , 15.4M   -   ,  2.54M   ↑   0.3% ,
313, 313     ↓    3  ,   W2S ,  Entertainment  , 15.4M   -   ,  15.39M   ↑   0.1% ,
314, 314   ↑   1  ,   Mnet K-POP ,  Entertainment  , 15.4M ↑  0.7% ,  131.5K   ↑   68% ,
315, 315     ↓    1  ,   INCRÍVEL ,  People & Blogs  , 15.4M ↑  0.7% ,  96.49K   ↑   17.5% ,
316, 316   ↑   2  ,   Gusttavo Lima Oficial ,  Music  , 15.3M   -   ,  44.98M   ↑   1.4% ,
317, 317   ↑   3  ,   National Geographic ,  Entertainment  , 15.3M ↑  0.7% ,  73.23K   ↑   8.4% ,
318, 318     ↓    5  ,   HowToBasic ,  Howto & Style  , 15.3M   -   ,  2.84M   ↑   4.3% ,
319, 319     ↓    2  ,   Reaction Time ,  Entertainment  , 15.3M   -   ,  384.47K   ↑   1.7% ,
320, 320     ↓    1  ,   Rotana ,  Music  , 15.3M ↑  0.7% ,  731.26K   ↑   113.7% ,
321, 321     -   ,   Peppa Pig Español Latino - Canal Oficial ,  Film & Animation  , 15.2M ↑  0.7% ,  3.84M   ↑   7.1% ,
322, 322   ↑   6  ,   IDEAS EN 5 MINUTOS ,  Howto & Style  , 15.1M ↑  0.7% ,  244.27K   ↑   12.9% ,
323, 323     -   ,   The Lallantop ,  News & Politics  , 15.1M   -   ,  42.07K   ↑   22.6% ,
324, 324     ↓    2  ,   Fatos Desconhecidos ,  Entertainment  , 15.1M   -   ,  202.33K   ↑   9.2% ,
325, 325   ↑   10  ,   Chloe Ting ,  Howto & Style  , 15.1M ↑  1.3% ,  2.85M   ↑   0.2% ,
326, 326   ↑   1  ,   Got Talent Global ,  Entertainment  , 15.1M ↑  0.7% ,  84.91K    ↓     29.3% ,
327, 327   ↑   2  ,   Aditya Music ,  Music  , 15.1M ↑  0.7% ,  144.41K    ↓     51.8% ,
328, 328   ↑   2  ,   NBA ,  Sports  , 15M ↑  0.7% ,  394.43K    ↓     34% ,
329, 329   ↑   7  ,   DeToxoMoroxo ,  Entertainment  , 15M ↑  0.7% ,  2.11M    ↓     4.5% ,
330, 330     ↓    5  ,   الـريماس - Al-Remas ,  Music  , 15M   -   ,  253.22K   ↑   3.7% ,
331, 331     ↓    7  ,   SQUEEZIE ,  Entertainment  , 15M   -   ,  5.48M    ↓     8.6% ,
332, 332   ↑   6  ,   Movieclips Trailers ,  Film & Animation  , 15M ↑  0.7% ,  124.02K    ↓     4.5% ,
333, 333     ↓    2  ,   BabyBus - Canciones Infantiles & Cuentos ,  Education  , 15M ↑  0.7% ,  2.58M   ↑   3.7% ,
334, 334     -   ,   TheGrefg ,  Gaming  , 15M ↑  1.4% ,  2.7M   ↑   5.3% ,
335, 335     ↓    9  ,   Maroon5VEVO ,  Music  , 15M   -   ,  139.6M   ↑   0.3% ,
336, 336   ↑   10  ,   Raffy Tulfo in Action ,  News & Politics  , 14.9M ↑  1.4% ,  1.04M   ↑   72.8% ,
337, 337   ↑   6  ,   Diana Bebe ,  Entertainment  , 14.9M ↑  0.7% ,  3.69M    ↓     23.3% ,
338, 338     ↓    1  ,   SelenaGomezVEVO ,  Music  , 14.9M   -   ,  11.78M   ↑   0.8% ,
339, 339     ↓    6  ,   Musas ,  Howto & Style  , 14.9M   -   ,  2.02M   ↑   0.2% ,
340, 340     ↓    8  ,   Lilly Singh ,  Comedy  , 14.9M   -   ,  1.33M   ↑   0.8% ,
341, 341     -   ,   SSundee ,  Gaming  , 14.9M ↑  0.7% ,  2.41M   ↑   7.4% ,
342, 342   ↑   5  ,   Aditya Movies ,  Entertainment  , 14.8M ↑  0.7% ,  469.74K   ↑   187.6% ,
343, 343     ↓    3  ,   Enaldinho ,  Comedy  , 14.8M   -   ,  536.55K   ↑   14.4% ,
344, 344     ↓    5  ,   HiMan ,  Entertainment  , 14.8M   -   ,  5M    ↓     1.6% ,
345, 345     ↓    3  ,   Oyuncak Avı ,  Entertainment  , 14.8M   -   ,  1.48M   ↑   4.4% ,
346, 346   ↑   2  ,   Stubborn Facts ,  Entertainment  , 14.8M ↑  0.7% ,  2.33M    ↓     8.6% ,
347, 347   ↑   5  ,   Minecraft - Topic , , 14.7M ↑  0.7% ,  685K    -    ,
348, 348     ↓    3  ,   IDEIAS INCRÍVEIS ,  Howto & Style  , 14.7M   -   ,  214.35K   ↑   7.9% ,
349, 349     ↓    5  ,   Preston ,  Entertainment  , 14.7M ↑  0.7% ,  3.76M   ↑   0.3% ,
350, 350     -   ,   FailArmy ,  Entertainment  , 14.6M   -   ,  1.14M   ↑   5.9% ,
351, 351   ↑   4  ,   Cardi B ,  Music  , 14.6M ↑  0.7% ,  109.08M   ↑   1.3% ,
352, 352     ↓    3  ,   ERB ,  Entertainment  , 14.6M   -   ,  28.63M   ↑   0.1% ,
353, 353   ↑   1  ,   FactTechz ,  Entertainment  , 14.6M ↑  0.7% ,  3.37M   ↑   1% ,
354, 354     ↓    3  ,   Rclbeauty101 ,  Comedy  , 14.6M   -   ,  1.98M   ↑   0.6% ,
355, 355     ↓    2  ,   Anitta ,  Music  , 14.5M   -   ,  82.6M   ↑   1% ,
356, 356   ↑   1  ,   Tlnovelas ,  Entertainment  , 14.5M ↑  0.7% ,  74.03K    ↓     10.9% ,
357, 357   ↑   3  ,   Marvel Entertainment ,  Entertainment  , 14.4M ↑  0.7% ,  581.76K   ↑   18.9% ,
358, 358   ↑   1  ,   TheBrianMaps ,  Entertainment  , 14.4M ↑  0.7% ,  4.85M   ↑   1.1% ,
359, 359   ↑   2  ,   PDK Films ,  Entertainment  , 14.4M ↑  0.7% ,  27.91M   ↑   0.4% ,
360, 360     ↓    2  ,   MalumaVEVO ,  Music  , 14.4M   -   ,  18.75M   ↑   14.7% ,
361, 361     ↓    5  ,   TheRichest ,  Film & Animation  , 14.4M   -   ,  149.12K   ↑   13.8% ,
362, 362   ↑   1  ,   Boyce Avenue ,  Music  , 14.3M ↑  0.7% ,  2.21M    ↓     6.5% ,
363, 363     ↓    1  ,   Katie Angel ,  Music  , 14.3M   -   ,  2.63M    ↓     2.2% ,
364, 364   ↑   17  ,   Mark Rober ,  Science & Technology  , 14.3M ↑  2.1% ,  24.39M   ↑   2.5% ,
365, 365   ↑   2  ,   Indosiar ,  Entertainment  , 14.3M ↑  1.4% ,  170.84K   ↑   42.2% ,
366, 366   ↑   4  ,   KBS World ,  Entertainment  , 14.2M ↑  0.7% ,  12.4K   ↑   307.7% ,
367, 367   ↑   1  ,   IGN ,  Gaming  , 14.2M ↑  0.7% ,  112.92K   ↑   51% ,
368, 368     ↓    3  ,   officialpsy ,  Music  , 14.2M   -   ,  34.5M   ↑   0.2% ,
369, 369     ↓    5  ,   Wengie ,  Howto & Style  , 14.2M   -   ,  1.66M   ↑   1.6% ,
370, 370   ↑   2  ,   CookieSwirlC ,  Gaming  , 14.2M ↑  0.7% ,  707.35K   ↑   0.4% ,
371, 371     ↓    2  ,   Sebastián Yatra ,  Music  , 14.1M   -   ,  1.7M   ↑   0.1% ,
372, 372   ↑   3  ,   Diana Play ,  Entertainment  , 14.1M ↑  0.7% ,  5.21M    ↓     16.1% ,
373, 373     -   ,   Kaykai Salaider ,  Entertainment  , 14.1M   -   ,  4.58M    ↓     1.4% ,
374, 374   ↑   3  ,   Brent Rivera ,  Entertainment  , 14.1M ↑  0.7% ,  7.48M    ↓     0.8% ,
375, 375   ↑   11  ,   Crafty Panda ,  Howto & Style  , 14.1M ↑  1.4% ,  5.95M   ↑   3.9% ,
376, 376   ↑   2  ,   toyorbabytv ,  Music  , 14.1M ↑  0.7% ,  205.3K    ↓     0.6% ,
377, 377     ↓    6  ,   Miley Cyrus ,  Entertainment  , 14.1M   -   ,  1.36M   ↑   2.1% ,
378, 378   ↑   4  ,   Frost Diamond ,  Entertainment  , 14.1M ↑  1.4% ,  1.1M   ↑   4.1% ,
379, 379     ↓    13  ,   Marmok ,  Gaming  , 14.1M   -   ,  7.67M   ↑   0.9% ,
380, 380     ↓    6  ,   Sandra Cires Art ,  Entertainment  , 14.1M   -   ,  4.22M    ↓     0.3% ,
381, 381     ↓    5  ,   CollegeHumor ,  Comedy  , 14M   -   ,  392.99K    ↓     0.2% ,
382, 382     ↓    3  ,   Little Mix ,  Music  , 14M   -   ,  1.72M   ↑   0.2% ,
383, 383   ↑   2  ,   Camila Cabello ,  Music  , 14M ↑  0.7% ,  2.15M   ↑   0.1% ,
384, 384     -   ,   Rafa & Luiz ,  Entertainment  , 14M ↑  0.7% ,  1.04M   ↑   5.4% ,
385, 385     ↓    5  ,   Manual do Mundo ,  Science & Technology  , 14M   -   ,  1.01M   ↑   13.8% ,
386, 386   ↑   2  ,   Pitbull ,  Music  , 13.9M ↑  0.7% ,  1.26M   ↑   3.8% ,
387, 387   ↑   13  ,   Naisa Alifia Yuriza (N.A.Y) ,  Entertainment  , 13.9M ↑  1.5% ,  945.83K    ↓     3% ,
388, 388   ↑   2  ,   Jason Derulo ,  Music  , 13.9M ↑  0.7% ,  8.97M   ↑   7.6% ,
389, 389     ↓    6  ,   The Slow Mo Guys ,  Entertainment  , 13.9M   -   ,  6.04M   ↑   0.2% ,
390, 390   ↑   4  ,   Dr. Vivek Bindra: Motivational Speaker ,  Education  , 13.9M ↑  0.7% ,  700.99K    ↓     14.2% ,
391, 391   ↑   1  ,   Cyprien ,  Comedy  , 13.8M   -   ,  7.75M   ↑   0.3% ,
392, 392   ↑   7  ,   MattyBRaps ,  Music  , 13.8M ↑  0.7% ,  13.97M   ↑   0.4% ,
393, 393     -   ,   LEGENDA FUNK ,  Music  , 13.8M   -   ,  58.29K   ↑   6.8% ,
394, 394     ↓    7  ,   Martin Garrix ,  Music  , 13.8M ↑  0.7% ,  1.29M   ↑   0.9% ,
395, 395     ↓    6  ,   Trap City ,  Music  , 13.8M   -   ,  95.54K   ↑   7.5% ,
396, 396     ↓    5  ,   Lachlan ,  Gaming  , 13.8M   -   ,  2.54M    ↓     2.6% ,
397, 397   ↑   1  ,   Antrax ,  Gaming  , 13.8M ↑  0.7% ,  2.66M   ↑   2.2% ,
398, 398   ↑   3  ,   AM3NlC ,  People & Blogs  , 13.7M   -   ,  593.3K   ↑   11.5% ,
399, 399   ↑   4  ,   Познаватель ,  Entertainment  , 13.7M   -   ,  7.07M    ↓     2.9% ,
400, 400     ↓    3  ,   حِرف إبداعية في 5 دقائق ,  Howto & Style  , 13.7M   -   ,  417.63K   ↑   10.1% ,
401, 401     ↓    6  ,   Enes Batur ,  Entertainment  , 13.7M   -   ,  7.22M   ↑   1.2% ,
402, 402     -   ,   Boram Tube ToysReview [보람튜브 토이리뷰] ,  People & Blogs  , 13.7M   -   ,  93.32K   ↑   17.5% ,
403, 403   ↑   1  ,   GRAMMY GOLD OFFICIAL ,  Music  , 13.7M ↑  0.7% ,  174.19K   ↑   31.5% ,
404, 404     ↓    8  ,   SIS vs BRO ,  Entertainment  , 13.7M   -   ,  8.67M    ↓     2.8% ,
405, 405   ↑   3  ,   NikkieTutorials ,  Howto & Style  , 13.6M   -   ,  2.25M   ↑   1.1% ,
406, 406   ↑   1  ,   Planeta das Gêmeas ,  Entertainment  , 13.6M   -   ,  1.01M    ↓     5.8% ,
407, 407   ↑   9  ,   Green Gold ,  Entertainment  , 13.6M ↑  0.7% ,  2.14M    ↓     24.5% ,
408, 408   ↑   6  ,   Masha e o Urso ,  Film & Animation  , 13.6M ↑  0.7% ,  2.22M   ↑   5.1% ,
409, 409   ↑   3  ,   StarPlus ,  Entertainment  , 13.6M ↑  0.7% ,  406.67K    ↓     3.1% ,
410, 410     ↓    5  ,   Shidory Drawblogs ,  Entertainment  , 13.6M   -   ,  1.88M   ↑   3% ,
411, 411     ↓    5  ,   Major Lazer Official ,  Music  , 13.6M   -   ,  309.68K   ↑   4.7% ,
412, 412     ↓    3  ,   Kwebbelkop ,  Gaming  , 13.6M ↑  0.7% ,  507.86K    ↓     10.1% ,
413, 413     -   ,   jbalvinVEVO ,  Music  , 13.5M   -   ,  62.48M   ↑   1.6% ,
414, 414   ↑   4  ,   SAM SMITH ,  Entertainment  , 13.5M ↑  0.8% ,  4.94M   ↑   0.3% ,
415, 415     ↓    4  ,   Official Pink Panther ,  Film & Animation  , 13.5M   -   ,  6.79M   ↑   1.8% ,
416, 416     ↓    1  ,   Jorge & Mateus Oficial ,  Music  , 13.5M   -   ,  36.18M   ↑   0.6% ,
417, 417     ↓    7  ,   Fifth Harmony ,  Music  , 13.5M   -   ,  2.58M   ↑   0.1% ,
418, 418     ↓    1  ,   El Reino a Jugar ,  Education  , 13.4M   -   ,  414.87K    ↓     2.2% ,
419, 419   ↑   6  ,   Jennifer Lopez ,  Music  , 13.4M ↑  1.5% ,  797.04K   ↑   20.9% ,
420, 420     ↓    1  ,   Makiman131 ,  Entertainment  , 13.4M ↑  0.8% ,  648.16K   ↑   2.5% ,
421, 421   ↑   15  ,   Total Gaming ,  Gaming  , 13.4M ↑  3.9% ,  2.88M    ↓     13.6% ,
422, 422   ↑   2  ,   WB Kids ,  Film & Animation  , 13.4M ↑  0.8% ,  897.24K    ↓     13.6% ,
423, 423     ↓    3  ,   FitDance ,  Music  , 13.4M   -   ,  166.98K   ↑   25.5% ,
424, 424     ↓    3  ,   AdMe.ru - Сайт о творчестве ,  Entertainment  , 13.3M   -   ,  87.93K   ↑   6% ,
425, 425     ↓    2  ,   Fueled By Ramen ,  Music  , 13.3M   -   ,  1.2M   ↑   0.4% ,
426, 426   ↑   1  ,   Gato Galactico ,  Entertainment  , 13.3M ↑  0.8% ,  561.94K   ↑   2.6% ,
427, 427     ↓    5  ,   VICE ,  Entertainment  , 13.3M   -   ,  236.84K   ↑   8.6% ,
428, 428   ↑   6  ,   Goldmines Movies ,  Film & Animation  , 13.2M ↑  0.8% ,  55.67K    ↓     49.9% ,
429, 429   ↑   6  ,   Kurt Hugo Schneider ,  Entertainment  , 13.2M ↑  0.8% ,  985.79K   ↑   1.8% ,
430, 430     ↓    1  ,   The Game Theorists ,  Gaming  , 13.2M   -   ,  2.94M   ↑   4.4% ,
431, 431     ↓    5  ,   EnriqueIglesiasVEVO ,  Music  , 13.2M   -   ,  24.93M   ↑   0.2% ,
432, 432     ↓    4  ,   Mariale ,  Entertainment  , 13.2M   -   ,  540.26K   ↑   0.1% ,
433, 433     ↓    1  ,   BeyoncéVEVO ,  Music  , 13.2M   -   ,  52.07M   ↑   0.3% ,
434, 434     ↓    4  ,   Canal Nostalgia ,  Entertainment  , 13.2M   -   ,  3.7M   ↑   0.8% ,
435, 435     ↓    4  ,   Queen Official ,  Music  , 13.2M   -   ,  739.04K   ↑   3.3% ,
436, 436   ↑   1  ,   Robin Hood Gamer ,  Gaming  , 13.1M ↑  0.8% ,  999.1K    ↓     4.7% ,
437, 437     ↓    4  ,   XpressTV ,  Entertainment  , 13.1M   -   ,  2.56M    ↓     12.8% ,
438, 438   ↑   5  ,   Zé Neto e Cristiano ,  Music  , 13M ↑  0.8% ,  19.63M   ↑   2.1% ,
439, 439     -   ,   Kurzgesagt – In a Nutshell ,  Education  , 13M ↑  0.8% ,  7.81M   ↑   3.7% ,
440, 440   ↑   5  ,   Super Polina ,  Entertainment  , 13M ↑  0.8% ,  253.44K   ↑   1.8% ,
441, 441     -   ,   AzzyLand ,  Entertainment  , 12.9M   -   ,  976.98K    ↓     1.4% ,
442, 442     ↓    2  ,   League of Legends ,  Gaming  , 12.9M   -   ,  1.93M   ↑   12.7% ,
443, 443   ↑   8  ,   Matheus Yurley ,  Entertainment  , 12.9M ↑  2.4% ,  2.44M    ↓     1.5% ,
444, 444     ↓    2  ,   NickiMinajAtVEVO ,  Music  , 12.9M   -   ,  90.23M   ↑   0.1% ,
445, 445     ↓    1  ,   حقائق وأسرار ,  Entertainment  , 12.9M   -   ,  134.16K   ↑   5.9% ,
446, 446     ↓    8  ,   Ranz Kyle ,  Entertainment  , 12.9M   -   ,  2.4M    ↓     0.9% ,
447, 447   ↑   1  ,   Hear This Music ,  Music  , 12.8M   -   ,  205.97M   ↑   0.1% ,
448, 448     ↓    1  ,   BIGBANG ,  Music  , 12.8M   -   ,  1.06M   ↑   0.2% ,
449, 449     ↓    3  ,   Мастерская Настроения ,  Entertainment  , 12.8M   -   ,  926.44K   ↑   4.4% ,
450, 450     -   ,   SAAIHALILINTAR ,  Entertainment  , 12.8M ↑  0.8% ,  1.57M   ↑   1.3% ,
451, 451     ↓    2  ,   RobleisIUTU ,  Gaming  , 12.8M ↑  0.8% ,  1.66M   ↑   8.1% ,
452, 452     ↓    1  ,   MAIKI021 ,  Entertainment  , 12.7M   -   ,  232.83K   ↑   4.2% ,
453, 453     ↓    1  ,   Alan Becker ,  Film & Animation  , 12.7M   -   ,  31.2M   ↑   0.8% ,
454, 454   ↑   6  ,   H2ODelirious ,  Gaming  , 12.7M ↑  0.8% ,  1.49M   ↑   26.3% ,
455, 455     ↓    1  ,   REACT ,  Entertainment  , 12.7M   -   ,  226.51K    ↓     0.6% ,
456, 456   ↑   3  ,   Lindsey Stirling ,  Music  , 12.6M   -   ,  1.63M    ↓     3.5% ,
457, 457   ↑   7  ,   Henrique e Juliano ,  Music  , 12.6M ↑  0.8% ,  44.82M   ↑   0.9% ,
458, 458   ↑   10  ,   李子柒 Liziqi ,  Howto & Style  , 12.6M ↑  0.8% ,  16.48M   ↑   1.6% ,
459, 459     ↓    1  ,   Invento na Hora ,  Entertainment  , 12.6M   -   ,  1.63M   ↑   0.1% ,
460, 460     ↓    5  ,   The LaBrant Fam ,  People & Blogs  , 12.6M   -   ,  4.07M    ↓     0.7% ,
461, 461     ↓    5  ,   #Refugio Mental ,  Entertainment  , 12.6M   -   ,  1.16M    ↓     0.6% ,
462, 462   ↑   5  ,   iTownGamePlay *Terror&Diversión* ,  Gaming  , 12.6M ↑  0.8% ,  109.11K   ↑   11.2% ,
463, 463     ↓    6  ,   POPS Kids ,  Film & Animation  , 12.6M   -   ,  19.71K    ↓     57.3% ,
464, 464     ↓    2  ,   Matt Stonie ,  Entertainment  , 12.6M ↑  0.8% ,  11.86M   ↑   2.6% ,
465, 465     ↓    2  ,   MrSuicideSheep ,  Entertainment  , 12.5M   -   ,  172.6K   ↑   5.1% ,
466, 466   ↑   9  ,   Like Nastya AE ,  Entertainment  , 12.5M ↑  0.8% ,  4.47M    ↓     8.1% ,
467, 467   ↑   2  ,   Apple ,  Science & Technology  , 12.5M ↑  0.8% ,  9.41M   ↑   1% ,
468, 468     ↓    3  ,   Parafernalha ,  Entertainment  , 12.5M   -   ,  320.45K    ↓     4.4% ,
469, 469     ↓    8  ,   Rosanna Pansino ,  Howto & Style  , 12.5M   -   ,  1.16M    ↓     7.5% ,
470, 470     ↓    4  ,   The King of Random ,  Education  , 12.5M   -   ,  498.49K    ↓     9% ,
471, 471     -   ,   Camila Loures ,  Entertainment  , 12.4M   -   ,  527.57K    ↓     8.6% ,
