,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
18, 18     -   ,   Big Hit Labels ,  Music  , 44.8M ↑  0.9% ,  28.59M   ↑   4.5% ,5
19, 19   ↑   1  ,   Movieclips ,  Film & Animation  , 44.5M ↑  0.9% ,  15.47K   ↑   36.4% ,3.81
20, 20     ↓    1  ,   EminemMusic ,  Music  , 44.5M ↑  0.2% ,  20.18M   ↑   0.9% ,1.11
21, 21     -   ,   MrBeast ,  Entertainment  , 44.1M ↑  0.9% ,  37.4M   ↑   4.4% ,4.95
22, 22     -   ,   Ariana Grande ,  Music  , 43.4M ↑  0.2% ,  805.39K   ↑   1.5% ,1.06
23, 23     -   ,   Badabun ,  Entertainment  , 43.4M ↑  0.2% ,  49.41K    ↓     31.1% ,3.51
24, 24     -   ,   Shemaroo Filmi Gaane ,  Music  , 42.2M ↑  0.7% ,  89.24K   ↑   29.2% ,4.34
25, 25     -   ,   Goldmines Telefilms ,  Film & Animation  , 42M ↑  0.7% ,  301.66K    ↓     1.4% ,4.22
26, 26     -   ,   Aaj Tak ,  News & Politics  , 41.7M ↑  0.2% ,  16.02K    ↓     52.8% ,2.58
27, 27     -   ,   HolaSoyGerman. ,  Entertainment  , 41.6M   -   ,  32.44M   ↑   0.1% ,0.95
28, 28     -   ,   JuegaGerman ,  Entertainment  , 41.5M ↑  0.5% ,  3.13M   ↑   0.3% ,3.98
29, 29     -   ,   whinderssonnunes ,  Comedy  , 41M ↑  0.2% ,  7.12M   ↑   0.7% ,4.69
30, 30     -   ,   ChuChu TV Nursery Rhymes & Kids Songs ,  Education  , 40.5M ↑  0.8% ,  4.01M   ↑   2.8% ,4.95
31, 31     -   ,   Taylor Swift ,  Music  , 39.9M   -   ,  3.51M   ↑   0.4% ,1.74
32, 32     -   ,   Felipe Neto ,  Entertainment  , 39.7M ↑  0.5% ,  2.52M   ↑   9.9% ,4.16
33, 33   ↑   2  ,   Pinkfong! Kids' Songs & Stories ,  Education  , 38.9M ↑  0.8% ,  1.17M   ↑   3.5% ,3.92
34, 34     -   ,   Sony Music India ,  Music  , 38.9M ↑  0.8% ,  7.44M    ↓     7% ,5
35, 35   ↑   1  ,   Katy Perry ,  Music  , 38.7M ↑  0.3% ,  972.9K   ↑   0.1% ,1.45
36, 36     ↓    3  ,   elrubiusOMG ,  Entertainment  , 38.7M ↑  0.3% ,  11.56M   ↑   0.7% ,4.65
37, 37     -   ,   Wave Music ,  Music  , 38.3M ↑  0.5% ,  827.44K   ↑   77.6% ,3.95
38, 38   ↑   1  ,   SAB TV ,  Entertainment  , 38.1M ↑  1.1% ,  56.45K   ↑   2% ,3.85
39, 39     ↓    1  ,   Fernanfloo ,  Gaming  , 38M ↑  0.3% ,  21.66M   ↑   0.5% ,2.99
40, 40   ↑   1  ,   BANGTANTV ,  Music  , 37.7M ↑  1.3% ,  4.99M    ↓     25.5% ,5
41, 41     ↓    1  ,   TheEllenShow ,  Entertainment  , 37.6M   -   ,  35.11K    ↓     92% ,3.22
42, 42     -   ,   Você Sabia? ,  Entertainment  , 37.3M ↑  0.3% ,  2.53M    ↓     11.3% ,4.37
43, 43     -   ,   El Reino Infantil ,  Music  , 37.3M ↑  0.5% ,  1.58M   ↑   17.2% ,3.76
44, 44     -   ,   BRIGHT SIDE ,  Howto & Style  , 36.8M ↑  0.5% ,  222.71K    ↓     4.6% ,3.86
45, 45     -   ,   Alan Walker ,  Music  , 36.6M ↑  0.5% ,  7.99M   ↑   2.8% ,1.82
46, 46     -   ,   Rihanna ,  Entertainment  , 35.4M   -   ,  778.6K   ↑   0.4% ,1.03
47, 47     -   ,   LooLoo Kids - Nursery Rhymes and Children's Songs ,  Music  , 34.5M ↑  0.9% ,  16.51M   ↑   2.7% ,5
48, 48     -   ,   Billie Eilish ,  Music  , 34.1M ↑  0.6% ,  25.5M    ↓     1.5% ,1.73
49, 49     -   ,   YRF ,  Film & Animation  , 33.9M ↑  0.6% ,  2.55M    ↓     5.6% ,3.05
50, 50   ↑   1  ,   One Direction ,  Music  , 33.7M ↑  0.3% ,  1.72M   ↑   0.4% ,1
51, 51     ↓    1  ,   Luisito Comunica ,  Comedy  , 33.7M ↑  0.3% ,  3.25M   ↑   8.1% ,4.66
52, 52     -   ,   T-Series Bhakti Sagar ,  Music  , 33.3M ↑  0.6% ,  60.88K   ↑   31.6% ,4.06
53, 53     -   ,   Little Baby Bum - Nursery Rhymes & Kids Songs ,  Education  , 32.9M ↑  0.3% ,  688.01K   ↑   0.4% ,3.64
54, 54   ↑   2  ,   Tips Official ,  Music  , 32.6M ↑  0.9% ,  1.41M   ↑   9.4% ,3.73
55, 55     ↓    1  ,   JustinBieberVEVO ,  Music  , 32.5M   -   ,  14.88M   ↑   2.8% ,4.98
56, 56   ↑   3  ,   Like Nastya Show ,  Entertainment  , 32.5M ↑  0.9% ,  11.23M   ↑   10.7% ,4.88
57, 57     ↓    2  ,   Speed Records ,  Music  , 32.5M ↑  0.3% ,  80.69K    ↓     46.5% ,3.65
58, 58     ↓    1  ,   Get Movies ,  Entertainment  , 32.4M ↑  0.6% ,  335.32K   ↑   1.4% ,3.27
59, 59     ↓    1  ,   LUCCAS NETO - LUCCAS TOON ,  Entertainment  , 32.3M ↑  0.3% ,  2.29M   ↑   14.3% ,4.07
60, 60     -   ,   Maroon 5 ,  Music  , 32M ↑  0.3% ,  4.77M   ↑   2.5% ,1.24
61, 61     -   ,   SonyMusicIndiaVEVO ,  Music  , 31.8M ↑  0.3% ,  1.29M   ↑   6.7% ,3.21
62, 62     -   ,   Daddy Yankee ,  Music  , 31.2M ↑  0.3% ,  113.85M   ↑   0.4% ,4.7
63, 63     -   ,   VEGETTA777 ,  Gaming  , 31.2M ↑  0.3% ,  1.55M    ↓     18.9% ,3.58
64, 64     -   ,   GR6 EXPLODE ,  Music  , 31.1M ↑  0.7% ,  280.89K    ↓     53.4% ,3.89
65, 65     -   ,   Маша и Медведь ,  Education  , 30.9M ↑  0.3% ,  2.36M   ↑   8.1% ,3.59
66, 66     -   ,   WorkpointOfficial ,  Entertainment  , 30.8M ↑  0.3% ,  31.26K   ↑   118.1% ,3.36
67, 67     -   ,   Shakira ,  Music  , 30.6M ↑  0.3% ,  4.02M   ↑   0.5% ,2.62
68, 68     -   ,   Ozuna ,  Music  , 30.4M ↑  0.7% ,  32.28M   ↑   9.8% ,4.95
69, 69     -   ,   WorkpointOfficial , , 29.8M ↑  0.3% ,  1.48M    -    ,0
70, 70     -   ,   ABS-CBN Entertainment ,  Entertainment  , 29.8M ↑  0.3% ,  10.44K   ↑   1173.8% ,2.93
71, 71     -   ,   Trap Nation ,  Music  , 29.3M ↑  0.3% ,  194.73K    ↓     3.2% ,3.17
72, 72     -   ,   Colors TV ,  Entertainment  , 29.1M ↑  1% ,  90.2K   ↑   1502.6% ,3.3
73, 73     -   ,   J Balvin ,  Music  , 28.7M ↑  0.4% ,  2.69M   ↑   0.4% ,2.84
74, 74     -   ,   Bruno Mars ,  Music  , 28.3M ↑  0.4% ,  109.89M    ↓     10.7% ,0.98
75, 75     -   ,   Luis Fonsi ,  Entertainment  , 28.2M ↑  0.4% ,  254.06K   ↑   0.6% ,1.55
76, 76     -   ,   XXXTENTACION ,  Music  , 28M ↑  0.4% ,  4.87M   ↑   2.1% ,0.94
77, 77   ↑   1  ,   NoCopyrightSounds ,  Music  , 27.9M ↑  0.4% ,  980.04K    ↓     0.1% ,3.31
78, 78     ↓    1  ,   rezendeevil ,  Entertainment  , 27.9M   -   ,  515.31K   ↑   15.2% ,3.64
79, 79   ↑   1  ,   Bad Bunny ,  Music  , 27.7M ↑  0.4% ,  62.37M   ↑   2.8% ,4.62
80, 80     ↓    1  ,   Spinnin' Records ,  Music  , 27.7M   -   ,  146.78K   ↑   41.9% ,3.18
81, 81     -   ,   Infobells - Hindi ,  Education  , 27.5M ↑  0.7% ,  3.69M   ↑   12.3% ,4.69
82, 82   ↑   1  ,   TEDx Talks ,  Nonprofits & Activism  , 27.1M ↑  0.7% ,  824    ↓     59.7% ,2.74
83, 83     ↓    1  ,   Markiplier ,  Gaming  , 27M ↑  0.4% ,  2.52M   ↑   3.6% ,3.61
84, 84     -   ,   Selena Gomez ,  Film & Animation  , 26.8M ↑  0.4% ,  6.06M   ↑   1.7% ,3.39
85, 85     -   ,   Ryan's World ,  Entertainment  , 26.7M ↑  0.4% ,  2.48M    ↓     10.6% ,4.43
86, 86   ↑   1  ,   Boram Tube Vlog [보람튜브 브이로그] ,  Entertainment  , 26.6M ↑  0.4% ,  66.48M   ↑   1.9% ,1.02
87, 87     ↓    1  ,   TaylorSwiftVEVO ,  Music  , 26.5M   -   ,  7.94M   ↑   1.9% ,3.96
88, 88     -   ,   ABP NEWS ,  News & Politics  , 26.5M ↑  0.4% ,  12.87K   ↑   178.8% ,2.38
89, 89   ↑   6  ,   The Tonight Show Starring Jimmy Fallon ,  Comedy  , 26.4M ↑  3.1% ,  2.25M   ↑   1504.1% ,3.21
90, 90     -   ,   Venus ,  Music  , 26.3M ↑  1.1% ,  274.59K   ↑   47% ,3.54
91, 91     ↓    2  ,   Shawn Mendes ,  Music  , 26.2M ↑  0.4% ,  1.73M   ↑   0.4% ,0.96
92, 92     ↓    1  ,   Shemaroo ,  Entertainment  , 26M ↑  0.4% ,  457.78K    ↓     1.6% ,3.68
93, 93     -   ,   CarryMinati ,  Comedy  , 25.9M ↑  0.8% ,  30.45M   ↑   1.3% ,4.94
94, 94     ↓    2  ,   Atta Halilintar ,  Entertainment  , 25.8M ↑  0.4% ,  1.17M    ↓     4.4% ,3.75
95, 95     ↓    1  ,   GENIAL ,  Howto & Style  , 25.8M ↑  0.4% ,  142.28K   ↑   4.9% ,3.49
96, 96     -   ,   Kimberly Loaiza ,  People & Blogs  , 25.7M ↑  0.4% ,  13.29M   ↑   2.2% ,5
97, 97   ↑   1  ,   RihannaVEVO ,  Music  , 25.6M   -   ,  115.2M   ↑   0.2% ,0.96
98, 98   ↑   2  ,   one31 ,  Entertainment  , 25.6M ↑  0.8% ,  22.5K   ↑   458.6% ,2.88
99, 99     ↓    2  ,   BST Kids - Nursery Rhymes & Songs ,  Entertainment  , 25.6M   -   ,  195.6K    ↓     7.7% ,2.75
100, 100     ↓    1  ,   EminemVEVO ,  Music  , 25.5M   -   ,  57.06M   ↑   0.4% ,0.92
101, 101   ↑   3  ,   Toys and Colors ,  Entertainment  , 25.4M ↑  0.4% ,  4.22M    ↓     3.5% ,4.76
102, 102     ↓    1  ,   KatyPerryVEVO ,  Music  , 25.4M   -   ,  8.08M   ↑   1.6% ,4.46
103, 103     -   ,   Maluma ,  Music  , 25.4M ↑  0.4% ,  35.43M   ↑   0.9% ,3.5
104, 104     ↓    2  ,   Baby Doli - ToyPudding ,  Entertainment  , 25.4M ↑  0.4% ,  976.66K   ↑   21.9% ,3.2
105, 105   ↑   1  ,   VanossGaming ,  Gaming  , 25.3M ↑  0.4% ,  1.96M   ↑   21.3% ,3.31
106, 106     ↓    1  ,   AuronPlay ,  Comedy  , 25.3M ↑  0.4% ,  11.7M   ↑   1.2% ,4.25
107, 107   ↑   1  ,   Ch3Thailand ,  Entertainment  , 25.2M ↑  0.8% ,  948    ↓     89.8% ,2.99
108, 108   ↑   2  ,   Eros Now ,  Entertainment  , 25.1M ↑  0.4% ,  181.05K    ↓     8.6% ,3.17
109, 109   ↑   2  ,   shfa ,  People & Blogs  , 25.1M ↑  0.8% ,  7.45M    ↓     6.8% ,4.76
110, 110     ↓    3  ,   Smosh ,  Comedy  , 25.1M   -   ,  801.76K    ↓     0.7% ,3.1
111, 111     ↓    2  ,   CVS 3D Rhymes & Kids Songs ,  Education  , 25M   -   ,  42.17M   ↑   1.5% ,0.99
112, 112   ↑   1  ,   Ultra Bollywood ,  Entertainment  , 24.9M ↑  0.4% ,  541.64K   ↑   12.5% ,3.26
113, 113     ↓    1  ,   jacksepticeye ,  Gaming  , 24.9M ↑  0.4% ,  2.44M   ↑   7.4% ,3.59
114, 114     -   ,   Ultra Music ,  Music  , 24.8M ↑  0.4% ,  53.3K    ↓     6.7% ,3.06
115, 115     -   ,   T-Series Apna Punjab ,  Music  , 24.8M ↑  0.8% ,  1.01M    ↓     38.4% ,3.75
116, 116   ↑   1  ,   Super Simple Songs - Kids Songs ,  Education  , 24.7M ↑  0.4% ,  5.58M   ↑   3.2% ,4.06
117, 117   ↑   2  ,   Gaane Sune Ansune ,  Music  , 24.6M ↑  0.8% ,  96.46K   ↑   29.6% ,3.36
118, 118     -   ,   The Late Late Show with James Corden ,  Entertainment  , 24.6M   -   ,  171.67K   ↑   5.7% ,3.24
119, 119     ↓    3  ,   Yuya ,  Howto & Style  , 24.6M   -   ,  876.5K    ↓     1.1% ,2.55
120, 120   ↑   1  ,   SMTOWN ,  Music  , 24.2M ↑  0.4% ,  2.87M   ↑   0.1% ,4.52
121, 121   ↑   2  ,   Galinha Pintadinha ,  Film & Animation  , 24.2M ↑  0.4% ,  276.8M   ↑   0.5% ,4.63
122, 122     ↓    2  ,   WORLDSTARHIPHOP ,  Music  , 24.2M   -   ,  93.41K   ↑   3% ,3.35
123, 123     ↓    1  ,   Ninja ,  Gaming  , 24.1M   -   ,  496.41K   ↑   17.7% ,3.08
124, 124   ↑   1  ,   Geet MP3 ,  Music  , 23.9M ↑  0.8% ,  5.15M   ↑   2.5% ,4.81
125, 125   ↑   1  ,   LosPolinesios ,  People & Blogs  , 23.8M ↑  0.4% ,  5.53M   ↑   0.7% ,4.65
126, 126     ↓    2  ,   DanTDM ,  Gaming  , 23.8M ↑  0.4% ,  2.75M   ↑   3% ,3.99
127, 127   ↑   2  ,   A4 ,  Entertainment  , 23.6M ↑  0.9% ,  13.11M    ↓     9.8% ,4.88
128, 128     ↓    1  ,   enchufetv ,  Comedy  , 23.6M   -   ,  427.21K    ↓     66.5% ,3.13
129, 129   ↑   1  ,   La Granja de Zenón ,  Music  , 23.5M ↑  0.4% ,  2.95M   ↑   6.6% ,4.32
130, 130     ↓    2  ,   Mr Bean ,  Comedy  , 23.5M ↑  0.4% ,  788.97K    ↓     6.6% ,3.52
131, 131     -   ,   ImagineDragons ,  Music  , 23.4M ↑  0.4% ,  208.59K   ↑   0.4% ,1.01
132, 132   ↑   1  ,   Drake ,  Music  , 22.9M ↑  0.4% ,  7.7M   ↑   0.7% ,1.04
133, 133   ↑   1  ,   Like Nastya ESP ,  Entertainment  , 22.9M ↑  0.4% ,  3.34M   ↑   1.1% ,4.76
134, 134     ↓    2  ,   WatchMojo.com ,  Entertainment  , 22.9M   -   ,  88.3K    ↓     11.7% ,3.43
135, 135   ↑   1  ,   Rajshri ,  Entertainment  , 22.7M ↑  0.4% ,  21.02K    ↓     4.7% ,3.02
136, 136   ↑   1  ,   Wiz Khalifa ,  Music  , 22.7M ↑  0.4% ,  2.72M    ↓     10.3% ,2.55
137, 137     ↓    2  ,   IndiaTV ,  News & Politics  , 22.7M ↑  0.4% ,  9.11K   ↑   384.2% ,2.89
138, 138   ↑   1  ,   Maria Clara & JP ,  Entertainment  , 22.7M ↑  0.9% ,  21.54M   ↑   10.9% ,4.88
139, 139     ↓    1  ,   Ricis Official ,  Entertainment  , 22.6M ↑  0.4% ,  1.19M    ↓     8.5% ,3.71
140, 140   ↑   1  ,   James Charles ,  Entertainment  , 22.6M ↑  0.9% ,  9.54M    ↓     4.3% ,5
141, 141     ↓    1  ,   Logan Paul ,  Entertainment  , 22.4M   -   ,  5.97M   ↑   0.9% ,4.34
142, 142     -   ,   OneDirectionVEVO ,  Music  , 22.4M   -   ,  185.29K   ↑   12.7% ,1.57
143, 143     -   ,   SSSniperWolf ,  Entertainment  , 22.4M ↑  0.9% ,  3.75M   ↑   13.3% ,5
144, 144     -   ,   Adele ,  Music  , 22.2M   -   ,  10.96M   ↑   0% ,0.91
145, 145   ↑   1  ,   Lucas and Marcus ,  Entertainment  , 22.2M ↑  0.4% ,  2.22M   ↑   6% ,3.74
146, 146   ↑   2  ,   Collins Key ,  Entertainment  , 22.1M ↑  0.4% ,  20.96M    ↓     2.3% ,4.41
147, 147     ↓    2  ,   David Guetta ,  Music  , 22.1M   -   ,  2.41M   ↑   4.4% ,3.31
148, 148     ↓    1  ,   1MILLION Dance Studio ,  Entertainment  , 22M   -   ,  283.41K   ↑   29% ,3.14
149, 149     -   ,   KSI ,  Music  , 21.9M   -   ,  7.45M   ↑   0.4% ,4.27
150, 150     -   ,   Beyoncé ,  Music  , 21.7M   -   ,  1.82M   ↑   1.9% ,2.77
151, 151     -   ,   Nicki Minaj ,  Music  , 21.5M   -   ,  5.76M   ↑   0.8% ,2.28
152, 152   ↑   2  ,   Amit Bhadana ,  Entertainment  , 21.5M ↑  0.5% ,  24.15M   ↑   1.8% ,4.61
153, 153     ↓    1  ,   nigahiga ,  Entertainment  , 21.5M   -   ,  1.51M   ↑   1% ,0.91
154, 154   ↑   2  ,   shfa2 - شفا ,  People & Blogs  , 21.5M ↑  1.4% ,  2.32M    ↓     11.2% ,4.74
155, 155     -   ,   DisneyMusicVEVO ,  Music  , 21.4M ↑  0.5% ,  74.49K   ↑   5.7% ,3.48
156, 156     ↓    3  ,   shane ,  Comedy  , 21.4M   -   ,  25.01M   ↑   0.1% ,0.91
157, 157   ↑   1  ,   NickyJamTV ,  Music  , 21.2M ↑  0.5% ,  36.01M   ↑   0.5% ,2.83
158, 158     ↓    1  ,   قناة طيور الجنة | toyoraljanahtv ,  Music  , 21.1M   -   ,  697.98K   ↑   4.2% ,3.09
159, 159     -   ,   Talking Tom ,  Gaming  , 21.1M ↑  0.5% ,  33.12M    ↓     5.1% ,4.95
160, 160   ↑   6  ,   ashish chanchlani vines ,  Comedy  , 21.1M ↑  2.4% ,  30.78M    ↓     1.4% ,2.99
161, 161     -   ,   Las Ratitas ,  Entertainment  , 21M ↑  0.5% ,  11.16M    ↓     0.8% ,3.32
162, 162     -   ,   Jkk Entertainment ,  Comedy  , 21M ↑  1% ,  43.13M    ↓     11.3% ,4.95
163, 163     ↓    3  ,   The Chainsmokers ,  Music  , 20.9M   -   ,  169.69K   ↑   1% ,0.95
164, 164     ↓    1  ,   1theK (원더케이) ,  Entertainment  , 20.9M ↑  0.5% ,  41.71K    ↓     76.1% ,3.28
165, 165     ↓    1  ,   Valentina Pontes ,  Entertainment  , 20.7M ↑  0.5% ,  409.39K    ↓     11.9% ,3.91
166, 166     ↓    1  ,   Troom Troom ,  Howto & Style  , 20.7M ↑  0.5% ,  2.84M   ↑   16.8% ,4.75
167, 167     -   ,   Desi Music Factory ,  Music  , 20.7M ↑  1% ,  77.07M   ↑   1.4% ,4.88
168, 168     -   ,   The Weeknd ,  Music  , 20.5M   -   ,  16.82M   ↑   0.4% ,1.98
169, 169   ↑   2  ,   Jake Paul ,  People & Blogs  , 20.3M ↑  0.5% ,  4.48M   ↑   1.1% ,4.33
170, 170     ↓    1  ,   JennaMarbles ,  Comedy  , 20.2M   ↓   0.5% ,  4.16M   ↑   0.5% ,0.94
171, 171   ↑   2  ,   Chris Brown ,  Music  , 20.2M ↑  0.5% ,  1.59M   ↑   0.1% ,0.97
172, 172     -   ,   DrossRotzank ,  Entertainment  , 20.2M ↑  0.5% ,  3.61M    ↓     2.3% ,4.21
173, 173   ↑   2  ,   Marília Mendonça ,  Music  , 20.2M ↑  0.5% ,  101.16M   ↑   1% ,4.8
174, 174     ↓    4  ,   BuzzFeedVideo ,  People & Blogs  , 20.2M   -   ,  505.77K    ↓     23.8% ,2.99
175, 175     ↓    1  ,   FBE ,  Entertainment  , 20.1M   -   ,  294.16K    ↓     1.6% ,3
176, 176     -   ,   CanalCanalha ,  Comedy  , 20M   -   ,  3.3M   ↑   1.3% ,2.87
177, 177     -   ,   Enrique Iglesias ,  Music  , 19.9M ↑  0.5% ,  236.5K   ↑   4.4% ,0.99
178, 178   ↑   3  ,   TheDonato ,  Gaming  , 19.8M ↑  1% ,  2.47M    ↓     6.8% ,4.54
179, 179     -   ,   Post Malone ,  Music  , 19.8M ↑  0.5% ,  26.56M   ↑   0.6% ,1.03
180, 180     -   ,   KHANDESHI MOVIES ,  Comedy  , 19.8M ↑  0.5% ,  17.63M    ↓     1.8% ,5
181, 181   ↑   1  ,   Renato Garcia ,  Entertainment  , 19.7M ↑  0.5% ,  1.23M   ↑   6.5% ,3.84
182, 182     ↓    4  ,   Vevo ,  Music  , 19.7M   -   ,  169.54K   ↑   3.2% ,2.53
183, 183   ↑   5  ,   BabyBus - Nursery Rhymes ,  Education  , 19.6M ↑  1% ,  4.33M   ↑   14.7% ,4.88
184, 184     ↓    1  ,   GMANetwork ,  Entertainment  , 19.6M ↑  0.5% ,  6.11K   ↑   266.4% ,3.23
185, 185   ↑   2  ,   Jelly ,  Gaming  , 19.5M ↑  0.5% ,  1.06M   ↑   22.3% ,3.7
186, 186     ↓    1  ,   AuthenticGames ,  Gaming  , 19.5M ↑  0.5% ,  308.5K   ↑   4.2% ,3.19
187, 187   ↑   5  ,   Bollywood Classics ,  Music  , 19.5M ↑  1% ,  431.01K   ↑   7% ,1.71
188, 188   ↑   2  ,   toycantando ,  Music  , 19.4M ↑  0.5% ,  2.75M    ↓     13.1% ,3.08
189, 189     ↓    5  ,   Skrillex ,  Music  , 19.4M   -   ,  27.82M   ↑   0.3% ,0.94
190, 190     ↓    4  ,   Tasty ,  Howto & Style  , 19.4M   -   ,  368.27K   ↑   1.9% ,3.05
191, 191   ↑   5  ,   BB Ki Vines ,  Entertainment  , 19.3M ↑  1.1% ,  18.3M   ↑   0.5% ,2.99
192, 192     ↓    1  ,   5-Minute Crafts GIRLY ,  Howto & Style  , 19.3M   -   ,  170.87K    ↓     14.4% ,3.54
193, 193     ↓    4  ,   Mister Max ,  Entertainment  , 19.3M   -   ,  629.75K   ↑   10.3% ,3.24
194, 194   ↑   3  ,   Technical Guruji ,  Science & Technology  , 19.2M ↑  0.5% ,  678.19K   ↑   7.3% ,3.79
195, 195   ↑   3  ,   GMM GRAMMY OFFICIAL ,  Music  , 19.2M ↑  0.5% ,  8.68K   ↑   26.3% ,2.95
196, 196     ↓    3  ,   HaerteTest ,  Science & Technology  , 19.2M   -   ,  434.55K   ↑   3.6% ,3.32
197, 197   ↑   4  ,   Peppa Pig - Official Channel ,  Education  , 19.1M ↑  0.5% ,  3.28M    ↓     1.2% ,4.72
198, 198   ↑   1  ,   Wow Kidz ,  Entertainment  , 19.1M ↑  0.5% ,  276.75K   ↑   27.8% ,3.31
199, 199     ↓    4  ,   DJ Snake ,  Music  , 19.1M   -   ,  2.36M   ↑   1.1% ,1.37
200, 200   ↑   2  ,   Voot Kids ,  Film & Animation  , 19.1M ↑  0.5% ,  543.92K    ↓     90.9% ,4.75
201, 201     ↓    1  ,   ABP NEWS HINDI ,  News & Politics  , 19.1M ↑  0.5% ,  63.03K   ↑   791.3% ,3.98
202, 202     ↓    5  ,   The ACE Family ,  People & Blogs  , 19.1M   -   ,  6.13M    ↓     0.5% ,4.61
203, 203   ↑   1  ,   shakiraVEVO ,  Music  , 18.8M   -   ,  31.26M   ↑   0.6% ,0.91
204, 204   ↑   2  ,   Mikecrack ,  Gaming  , 18.8M ↑  1.6% ,  5.04M   ↑   17.7% ,4.95
205, 205     ↓    2  ,   Miss Katy ,  Entertainment  , 18.8M   -   ,  899.17K    ↓     2.3% ,3.33
206, 206     ↓    1  ,   Michael Jackson ,  Music  , 18.7M ↑  0.5% ,  4.21M   ↑   2.3% ,4.22
207, 207   ↑   1  ,   netd müzik ,  Music  , 18.5M   -   ,  27.7K    ↓     58.7% ,4.53
208, 208   ↑   2  ,   KAROL G ,  Music  , 18.5M ↑  0.5% ,  6.34M   ↑   1% ,1.52
209, 209     ↓    2  ,   Anuel AA ,  Music  , 18.5M   -   ,  112.71M   ↑   0.5% ,1.19
210, 210   ↑   1  ,   Jess No Limit ,  Gaming  , 18.5M ↑  1.1% ,  1M   ↑   25.7% ,3.95
211, 211     ↓    2  ,   David Dobrik ,  People & Blogs  , 18.4M   -   ,  18.14M   ↑   0.8% ,0.98
212, 212   ↑   2  ,   PTXofficial ,  Music  , 18.3M ↑  0.5% ,  1.41M   ↑   2.2% ,2.66
213, 213     ↓    1  ,   JYP Entertainment ,  Music  , 18.3M ↑  0.5% ,  16.59M   ↑   3.5% ,4.74
214, 214     ↓    1  ,   Lady Gaga ,  Music  , 18.3M ↑  0.5% ,  1.15M   ↑   0.7% ,1.02
215, 215   ↑   2  ,   infobells - Tamil ,  Education  , 18.3M ↑  1.1% ,  3.94M   ↑   17.4% ,4.65
216, 216     ↓    1  ,   ArianaGrandeVevo ,  Music  , 18.2M   -   ,  96.12M   ↑   0.8% ,0.96
217, 217     ↓    1  ,   mmoshaya ,  Entertainment  , 18.2M ↑  0.5% ,  7.36M    ↓     2.5% ,4.94
218, 218   ↑   2  ,   TED ,  Nonprofits & Activism  , 18.1M ↑  0.6% ,  94.27K   ↑   9% ,3.01
219, 219     -   ,   Tekashi 6ix9ine ,  Music  , 18.1M ↑  0.6% ,  162.79M   ↑   0.6% ,4.83
220, 220     ↓    2  ,   DLS News ,  News & Politics  , 18.1M   -   ,  200.66K    ↓     27.7% ,3.12
221, 221     -   ,   5-Minute Crafts PLAY ,  Howto & Style  , 17.9M   -   ,  103.89K   ↑   1.8% ,3.44
222, 222   ↑   4  ,   Masha and The Bear ,  Film & Animation  , 17.9M ↑  0.6% ,  2.38M   ↑   13.4% ,4.62
223, 223     -   ,   Avicii ,  Music  , 17.9M   -   ,  1.53M   ↑   2.1% ,1.16
224, 224   ↑   4  ,   Bounce Patrol - Kids Songs ,  Music  , 17.9M ↑  1.1% ,  24.08M    ↓     21.4% ,4.08
