,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
1,    -   ,   T-Series ,  Music  , 155M ↑  0.7% ,  3.18M   ↑   41.3% ,5
2,    -   ,   PewDiePie ,  Entertainment  , 107M   -   ,  5.23M   ↑   6.3% ,4.71
3,    -   ,   Cocomelon - Nursery Rhymes ,  Education  , 94.7M ↑  0.6% ,  36.43M    ↓     1.3% ,5
4, 4     -   ,   SET India ,  Entertainment  , 84.2M ↑  1% ,  24.27K   ↑   55.8% ,4.52
5, 5     -   ,   5-Minute Crafts ,  Howto & Style  , 68.6M ↑  0.1% ,  1.91M   ↑   27.6% ,4.24
6, 6     -   ,   WWE ,  Sports  , 67M ↑  0.6% ,  202.99K   ↑   58.9% ,4.62
7, 7     -   ,   ✿ Kids Diana Show ,  Entertainment  , 64.5M ↑  0.9% ,  21.84M    ↓     17.2% ,4.88
8, 8     -   ,   Zee Music Company ,  Music  , 62.5M ↑  0.6% ,  316.03K    ↓     45.7% ,4.31
9, 9     -   ,   Like Nastya ,  Entertainment  , 61.4M ↑  0.8% ,  34.74M   ↑   0.3% ,4.88
10, 10     -   ,   Canal KondZilla ,  Music  , 60.7M ↑  0.3% ,  286.71K    ↓     5% ,3.88
11, 11     -   ,   Justin Bieber ,  Music  , 57.3M ↑  0.4% ,  3.56M   ↑   1.3% ,2.37
12, 12   ↑   1  ,   Vlad and Niki ,  Entertainment  , 53.9M ↑  1.5% ,  64.13M    ↓     0.7% ,4.88
13, 13     ↓    1  ,   Dude Perfect ,  Sports  , 53.6M ↑  0.2% ,  23.39M   ↑   2.4% ,5
14, 14     -   ,   Zee TV ,  Entertainment  , 51.5M ↑  0.6% ,  560.76K    ↓     8.3% ,4.26
15, 15   ↑   1  ,   BLACKPINK ,  Music  , 49.8M ↑  2.7% ,  22.32M    ↓     53.7% ,5
16, 16     ↓    1  ,   Marshmello ,  Music  , 48.8M ↑  0.4% ,  2.89M   ↑   1.7% ,4.72
17, 17     -   ,   Ed Sheeran ,  Music  , 45.6M   -   ,  33.02M   ↑   0.8% ,1.01
